Timestamp,Cargo Scored,Team Number,Starting Platform,Game Piece Start,Sandstorm Hatch,Sandstorm Cargo,Ship Cargo,Ship Hatch,Rocket Cargo,Rocket Hatch,Dropped Cargo,Dropped Hatch,Total Cargo,Total Hatch,Total Points,Rocket Level,"Did they defend? If so, how well?",,HAB Level,Did they show?,Additional comments (optional),Hatches Scored
3/16/2019 14:18,0,6584,1,Hatch Panel,Neither,Neither,0,3,0,1,0,2,0,0,0,1,Did not defend,,1,Yes,Only focused on hatches,4
3/16/2019 11:02,0,6584,1,Cargo,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Did not defend,,1,,,0
3/16/2019 15:27,1,6663,1,Hatch Panel,Cargo Ship,Neither,1,0,0,0,0,0,1,0,3,0,Did not defend,,1,Yes,,0
3/16/2019 17:53,3,6863,1,Hatch Panel,Cargo Ship,Neither,3,1,0,0,2,0,3,2,13,1,Did not defend,,1,Yes,,1
3/17/2019 9:46,1,6863,1,Hatch Panel,Neither,Neither,0,1,1,2,0,2,0,0,0,1,Did not defend,,1,Yes,,3
3/16/2019 12:33,1,6863,1,Hatch Panel,Neither,Neither,1,1,0,0,0,0,1,0,3,0,Did not defend,,1,Yes,,1
3/16/2019 12:33,1,6863,1,Hatch Panel,Neither,Neither,1,1,0,0,1,0,1,1,5,0,Did not defend,,1,Yes,Slow and innacurate,1
3/16/2019 16:48,1,6863,1,Hatch Panel,Neither,Neither,1,1,0,0,0,1,1,0,3,0,Did not defend,,1,Yes,,1
3/16/2019 14:47,0,6863,1,Hatch Panel,Cargo Ship,Neither,0,1,0,0,0,0,0,0,0,0,Did not defend,,1,Yes,,1
3/16/2019 14:50,0,6863,1,Hatch Panel,Cargo Ship,Neither,0,1,0,0,0,0,0,0,0,0,Did not defend,,1,Yes,,1
3/16/2019 16:04,6,7770,1,Hatch Panel,Neither,Neither,4,1,2,0,1,1,6,3,24,1,Did not defend,,1,Yes,,1
3/17/2019 10:12,4,7770,2,Hatch Panel,Neither,Neither,3,1,1,1,0,0,0,0,0,1,Did not defend,Hatch on ship,0,Yes,,2
3/16/2019 15:15,4,7770,2,Hatch Panel,Neither,Neither,4,0,0,1,0,0,4,0,12,0,Did not defend,,1,Yes,,1
3/16/2019 16:29,4,7770,1,Cargo,Neither,Cargo Ship,4,0,0,0,0,0,4,0,12,0,Did not defend,,2,Yes,,0
3/16/2019 11:45,3,7770,2,Hatch Panel,Neither,Neither,3,2,0,0,0,0,3,0,9,0,Did not defend,,1,,decent,2
3/16/2019 17:10,3,7770,2,Hatch Panel,Cargo Ship,Neither,3,2,0,0,1,0,3,1,11,0,Did not defend,,2,Yes,,2
3/16/2019 18:02,3,7770,2,Hatch Panel,Neither,Neither,3,0,0,1,0,0,3,0,9,0,Did not defend,,1,Yes,,1
3/16/2019 14:02,3,7770,2,Hatch Panel,Cargo Ship,Neither,3,0,0,0,1,0,3,1,11,0,Did not defend,,1,Yes,,0
3/17/2019 9:22,2,7770,1,Hatch Panel,Neither,Neither,2,2,0,0,0,0,0,0,0,2,Did not defend,Put hatch on ship,2,Yes,,2
3/16/2019 14:18,0,7879,1,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Poor,,1,Yes,drive train only,0
3/16/2019 17:53,0,7879,2,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Mediocre,,0,Yes,,0
3/17/2019 9:28,0,7879,2,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Mediocre,it's  defense ,0,Yes,,0
3/16/2019 11:27,0,7879,1,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,Did not defend,,0,,Did not play this round,0
3/16/2019 18:16,5,7886,2,Cargo,Neither,Cargo Ship,5,0,0,0,1,0,5,1,17,0,Did not defend,,1,Yes,,0
3/17/2019 9:45,4,7886,2,Cargo,Neither,Cargo Ship,4,0,0,1,1,0,0,0,0,1,Did not defend,,1,Yes,,1
3/16/2019 14:27,3,7886,1,Hatch Panel,Cargo Ship,Neither,3,2,0,0,0,0,3,0,9,0,Did not defend,,1,Yes,,2
3/16/2019 17:37,3,7886,2,Cargo,Neither,Neither,3,0,0,1,1,0,3,1,11,1,Did not defend,,1,Yes,,1
3/16/2019 11:45,1,7886,1,Hatch Panel,Neither,Neither,1,1,0,1,1,0,1,1,5,1,Did not defend,,1,,,2
3/16/2019 16:21,1,7886,2,Cargo,Neither,Neither,1,0,0,2,0,0,1,0,3,2,Did not defend,,0,Yes,,2
3/16/2019 15:35,1,7886,2,Hatch Panel,Neither,Neither,1,1,0,0,1,1,1,1,5,0,Did not defend,,1,Yes,,1
3/16/2019 14:48,1,7886,1,Cargo,Neither,Cargo Ship,1,0,0,0,0,0,1,0,3,0,Good,,1,Yes,Blocked opp1nts well,0
